Epoch,Loss(train),Loss(validation),Epoch Time (hours),Training Time (hours),Device
1,10.003258495612684,9.725820372704746,0.23,1.1,1xL4OS
2,9.616397437203695,9.44553768715891,0.22,1.1,1xL4OS
3,9.362677955627442,9.222394797266746,0.22,1.1,1xL4OS
4,9.164095487265751,9.054170621495668,0.22,1.1,1xL4OS
5,9.013892841808902,8.928206524881375,0.22,1.1,1xL4OS
